"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Sep 30 11:40:43 GMT 2021","Thu Sep 30 11:40:47 GMT 2021","4196","Default suite","Default test","damm.script.promociones.DAMM0000","damm.script.promociones.DAMM0000","testAuto","Damm - VeranoDamm","Verificar Banner VeranoDamm"
"passed","Tue Oct 05 13:16:36 GMT 2021","Tue Oct 05 13:17:44 GMT 2021","67946","Default suite","Default test","damm.script.promociones.DAMM012","damm.script.promociones.DAMM012","testAuto","Damm - VeranoDamm","Restricción de Edad Aceptada"
"passed","Fri Oct 01 06:07:43 GMT 2021","Fri Oct 01 06:08:57 GMT 2021","74010","Default suite","Default test","damm.script.promociones.DAMM002","damm.script.promociones.DAMM002","testAuto","Damm - GastroEstrella","Aceptacion Cookies GastroEstrella"
"passed","Thu Sep 30 12:50:29 GMT 2021","Thu Sep 30 12:51:38 GMT 2021","68933","Default suite","Default test","damm.script.promociones.DAMM001","damm.script.promociones.DAMM001","testAuto","Damm - GastroEstrella","Aceptacion Cookies GastroEstrella"
"failed","Thu Sep 30 11:40:11 GMT 2021","Thu Sep 30 11:40:16 GMT 2021","5597","Default suite","Default test","damm.script.promociones.DAMM000","damm.script.promociones.DAMM000","testAuto","Damm - GastroEstrella","Verificar Banner GastroEstrella"
